canonical_name,total_mentions,model_count,google_name,match_score,google_rating,google_reviews,price_level,business_status,address
Publico Ristorante,10,4,Publico Ristorante,100.0,4.3,3286,2,OPERATIONAL,"1 Nanson Rd, Singapore 238909"
SKAI,10,4,SKAI,100.0,4.1,1283,,OPERATIONAL,"2 Stamford Rd, Lvl 70 #70-01, Singapore 178882"
Saint Pierre,10,4,Saint Pierre,100.0,4.7,408,4,OPERATIONAL,"1 Fullerton Road, #02-02B, One Fullerton, Singapore 049213"
Tim Ho Wan,10,3,Tim Ho Wan,100.0,4.2,1895,2,OPERATIONAL,"01-29A/52, Plaza Singapura, 68 Orchard Rd, Singapore 238839"
Ah Tai Hainanese Chicken Rice,9,4,Ah Tai Hainanese Chicken Rice,100.0,4.4,537,1,OPERATIONAL,"1 Kadayanallur St, #01-07 Maxwell Food Centre, Singapore 069184"
Atlas Coffeehouse,9,3,Atlas Coffeehouse,100.0,4.2,1779,2,OPERATIONAL,"6 Duke's Rd, Singapore 268886"
Chilli Padi Nonya Restaurant,9,4,Chilli Padi Nonya Restaurant,100.0,4.2,736,2,OPERATIONAL,"11 Joo Chiat Pl, #01-03, Singapore 427744"
Chomp Chomp Food Centre,9,4,Chomp Chomp Food Centre,100.0,4.2,4700,2,OPERATIONAL,"20 Kensington Park Rd, Singapore 557269"
Heng Long Teochew Porridge,9,4,Heng Long Teochew Porridge,100.0,3.6,410,,OPERATIONAL,"240 Tanjong Katong Rd, Singapore 437028"
Herbivore,9,4,Herbivore,100.0,4.5,1303,3,OPERATIONAL,"190 Middle Rd, #01-13/14 Fortune Centre, Singapore 188979"
Makansutra Gluttons Bay,9,4,Makansutra Gluttons Bay,100.0,4.1,4127,2,OPERATIONAL,"8 Raffles Ave., #01-15 Esplanade Mall, Singapore 039802"
Native,9,3,Native,100.0,4.7,911,3,OPERATIONAL,"52A Amoy St, Singapore 069878"
PS.Cafe One Fullerton,9,2,PS.Cafe One Fullerton,100.0,4.5,2465,3,OPERATIONAL,"1 Fullerton Rd, #02-03B/04, Singapore 049213"
Punjab Grill,9,4,Punjab Grill,100.0,4.0,1066,4,OPERATIONAL,"2 Bayfront Ave, B1 - 01A, Singapore 018972"
Rasapura Masters,9,4,Rasapura Masters,100.0,3.8,2244,,OPERATIONAL,"2 Bayfront Ave, B2-49A/50/51/52/53 The Shoppes at Marina Bay Sands, Singapore 018972"
Saizeriya,9,4,Saizeriya,100.0,3.8,1446,1,OPERATIONAL,"190 Lor 6 Toa Payoh, #02-514, Singapore 310190"
Tekka Centre,9,3,Tekka Centre,100.0,4.2,22705,,OPERATIONAL,"665 Buffalo Road Zhujiao Centre, Tekka, Market, Singapore 210665"
Warong Nasi Pariaman,9,3,Warong Nasi Pariaman,100.0,4.1,816,2,OPERATIONAL,"738 N Bridge Rd, Singapore 198706"
Fat Cow,9,3,Fat Cow - Japanese Wagyu @ Camden Medical Centre,100.0,4.6,2530,4,OPERATIONAL,"1 Orchard Blvd, #01-01/02 Camden Medical Centre, Singapore 248649"
Loca Niru,9,4,Loca Niru - Modern Japanese Restaurant with Private Rooms in Singapore,100.0,5.0,67,,OPERATIONAL,"101 Penang Rd, #02-01 House of Tan Yeok Nee, Singapore 238466"
28 HongKong Street,8,4,28 HongKong Street,100.0,4.4,1141,3,OPERATIONAL,"28 Hongkong St, Singapore 059667"
88 Hong Kong Roast Meat Specialist,8,3,88 Hong Kong Roast Meat Specialist,100.0,4.3,2266,1,OPERATIONAL,"308 Lavender St., Singapore 338814"
Boon Tong Kee,8,3,Boon Tong Kee,100.0,4.3,1587,2,OPERATIONAL,"34 Whampoa W, #01-93, Singapore 330034"
Chin Mee Chin Confectionery,8,4,Chin Mee Chin Confectionery,100.0,4.0,1487,1,OPERATIONAL,"204 E Coast Rd, Singapore 428903"
Crystal Jade Palace,8,3,Crystal Jade Palace,100.0,4.0,996,2,OPERATIONAL,"391 Orchard Rd, #04-19 Takashimaya Shopping Centre, Singapore 238872"
Employees Only,8,4,Employees Only Singapore,100.0,4.1,1006,3,OPERATIONAL,"112 Amoy St, Singapore 069932"
Joo Seng Teochew Porridge,8,4,Joo Seng Teochew Porridge,100.0,3.3,484,,OPERATIONAL,"14 Cheong Chin Nam Rd, Singapore 599738"
Kok Sen Restaurant,8,4,KOK Sen Restaurant,100.0,4.1,1991,2,OPERATIONAL,"Keong Saik Rd., 4, Singapore 089110"
Kopitiam,8,3,Kopitiam,100.0,3.6,737,1,OPERATIONAL,"302 Tiong Bahru Rd, #03-101 Tiong Bahru Plaza, Singapore 168732"
Lagnaa Barefoot Dining,8,4,Lagnaa...barefoot dining,100.0,4.5,1920,3,OPERATIONAL,"6 Upper Dickson Rd, Singapore 207466"
Lantern,8,2,Lantern,100.0,4.3,2153,3,OPERATIONAL,"80 Collyer Quay, Singapore 049326"
Ocean Restaurant,8,3,OCEAN Restaurant,100.0,4.2,763,4,OPERATIONAL,"B1M, Equarius Hotel, 16 Sentosa Gateway, Resorts World Sentosa, Singapore 098133"
Olivia Restaurant & Lounge,8,3,Olivia Restaurant & Lounge,100.0,4.1,922,,OPERATIONAL,"55 Keong Saik Rd., #01-03, Singapore 089158"
Prive,8,3,Prive,100.0,4.2,259,,OPERATIONAL,"31 Punggol Fld, Singapore 828809"
